baggbrt_mean,baggbrt_std,ppov0_mean,ppov0_std,ppov1_mean,ppov1_std,sac_mean,sac_std
0.143620893,0.034050465,0.152953134,0.006588813,0.092295427,0.042226589,0.168162637,0.046655281
0.17736257,0.00288139,0.077882504,0.052715601,0.098405256,0.032248566,0.040073231,0.020252615
0.170000951,0.004752739,0.032534998,0.051733066,0.137366632,0.066353249,0.133596376,0.069480148
0.176177722,0.004304016,0.055097505,0.058192959,0.155520176,0.010392093,0.121905053,0.062679643
0.170000951,0.004752739,0.108732154,0.016074051,0.090593965,0.060668854,0.129573431,0.078961935
0.176764154,0.007670343,0.046028455,0.039140668,0.174199291,0.038577369,0.205406646,0.065384324
0.176764154,0.007670343,0.062543628,0.036449746,0.162451286,0.049621024,0.152945613,0.030037273
0.187273656,0.000859929,0.072588019,0.033805673,0.129418831,0.038099303,0.128350366,0.020699489
0.180646374,0.00939237,0.037718155,0.049412111,0.205504282,0.066744099,0.216664556,0.056231264
0.179636308,0.011562476,0.15810002,0.038308314,0.115483713,0.07121445,0.183407551,0.061050934
0.187273656,0.000859929,0.031460771,0.041826641,0.230605533,0.064310741,0.149887087,0.060403937
0.181925617,0.00877957,0.017527205,0.022916237,0.200389352,0.013809495,0.199618767,0.062242326
0.190220805,0.003438537,0.053315174,0.035647135,0.183634831,0.086460216,0.220662846,0.059564288
0.181833546,0.014255245,0.085354673,0.050789364,0.167320469,0.033384285,0.157742818,0.055528315
0.181833546,0.014255245,0.023651535,0.002079323,0.246769331,0.049959315,0.184507314,0.04832004
0.181833546,0.014255245,0.019738403,0.058431963,0.200991104,0.059434246,0.230671113,0.081160851
0.183840873,0.004538731,0.081923594,0.067405377,0.197379659,0.049590973,0.165781222,0.004966483
0.181833546,0.014255245,0.095392333,0.034673668,0.203500898,0.02828582,0.184595105,0.070135082
0.153656758,0.016979107,0.00740719,0.048529706,0.13110637,0.025537659,0.205109678,0.065895429
0.169477117,0.01185409,0.027553737,0.001697716,0.116603642,0.05540331,0.186412389,0.021824719
0.178261852,0.012783517,0.082102372,0.043074926,0.169643764,0.021291975,0.118165934,0.040296567
0.17504565,0.011223267,0.096681738,0.033216906,0.273144349,0.046823202,0.236461453,0.03657399
0.177897124,0.012533578,0.126664512,0.052027435,0.189804466,0.049685547,0.224597454,0.055957364
0.158968955,0.022751686,0.037742445,0.01187554,0.143327069,0.090716762,0.100836685,0.143999756
0.179108045,0.010822337,0.074956632,0.06215483,0.134498352,0.075733003,0.095936236,0.092408457
0.170430179,0.005665101,0.16918451,0.028176669,0.20164022,0.050129505,0.116067913,0.047405534
0.162225843,0.022424502,0.107611751,0.061963077,0.106917017,0.031827488,0.157355696,0.012519865
0.157328402,0.019782398,0.049223001,0.026320443,0.210472254,0.094207617,0.193733925,0.085074648
0.165785815,0.025379822,0.090372923,0.04632996,0.098710937,0.130499637,0.165986321,0.158246465
0.161687927,0.022043588,0.079234116,0.020624319,0.162686407,0.057183641,0.151409571,0.085400482
0.144348105,0.031868469,0.082988255,0.05178876,0.096484956,0.074665487,0.131023481,0.120988327
0.126569078,0.008999654,0.027960248,0.002693702,0.12190045,0.043589423,0.099334239,0.100409413
0.140509271,0.026585181,0.05432004,0.031426726,0.194610424,0.076400792,0.166737644,0.098031756
0.151167045,0.018872131,0.08217494,0.044492964,0.160053283,0.048351806,0.177471263,0.070877586
0.156667282,0.017387945,0.171865581,0.003091418,0.132962666,0.080466763,0.170792928,0.100570427
0.156667282,0.017387945,0.045794482,0.060701492,0.186282549,0.071710809,0.179051846,0.031680648
0.142582639,0.036157469,0.056635244,0.057700917,0.164524991,0.090153578,0.199278679,0.07845966
0.142582639,0.036157469,0.030648382,0.028399465,0.171997759,0.064128813,0.14405411,0.047050663
0.133663092,0.034704113,0.078945717,0.029699373,0.149635544,0.116388468,0.176411604,0.096046845
0.142582639,0.036157469,0.052276534,0.033115385,0.199833087,0.052031914,0.199213612,0.032780857
0.142582639,0.036157469,0.019711181,0.023301609,0.119362508,0.069409414,0.105028296,0.021154693
0.142582639,0.036157469,0.022279945,0.013038419,0.151015631,0.054399282,0.193110792,0.09862596
0.134099027,0.029262036,0.115846867,0.053133214,0.182947554,0.080888132,0.272766529,0.07091115
0.133663092,0.034704113,0.021546629,0.025497965,0.082500175,0.060319951,0.105856983,0.007321804
0.142582639,0.036157469,0.067337672,0.030822306,0.221712332,0.066528578,0.15183693,0.017230214
0.149660311,0.040193645,0.042745071,0.04872799,0.108895118,0.061577779,0.162186513,0.021332647
0.174255109,0.012706128,0.055322079,0.039806443,0.200448296,0.062254357,0.116153426,0.033126307
0.128481655,0.036426964,0.110483921,0.040933169,0.185383102,0.07809081,0.131714192,0.052965886
0.149660311,0.040193645,0.066237313,0.050230008,0.176750167,0.046176193,0.143991904,0.088880631
0.149660311,0.040193645,0.125991249,0.024195028,0.16318866,0.112204778,0.156864745,0.043807241
0.18133278,0.004612758,0.122898867,0.017691688,0.209026069,0.04381808,0.144523123,0.04438964
0.149660311,0.040193645,0.08419127,0.050538561,0.211186762,0.072444425,0.109957726,0.125510435
0.112484436,0.015432785,0.050262553,0.031964947,0.196891002,0.031354603,0.185910931,0.024975817
0.134867844,0.034636642,0.102546371,0.054816504,0.115868561,0.036988565,0.119391435,0.02322246
0.133663092,0.034704113,0.053492089,0.075494702,0.142840845,0.081279622,0.148913725,0.106514197
0.144589184,0.037072604,0.142580435,0.02267893,0.135706815,0.052447049,0.143683108,0.110555499
0.133663092,0.034704113,0.073357705,0.052118967,0.224112627,0.025293349,0.212049126,0.051671923
0.149660311,0.040193645,-0.002547147,0.03342026,0.177540973,0.098611831,0.150919272,0.114609439
0.149660311,0.040193645,0.075022704,0.079415433,0.275628977,0.026188879,0.199368777,0.077255749
0.149660311,0.040193645,0.062379476,0.075366246,0.140703855,0.054881293,0.118114909,0.034447367
0.133663092,0.034704113,0.009669586,0.002330607,0.192851607,0.015312054,0.185794782,0.035899473
0.133663092,0.034704113,0.054129189,0.053107641,0.249264938,0.059672696,0.196360861,0.114254441
0.149375059,0.039990423,0.086112991,0.009935564,0.201257305,0.127725345,0.192662393,0.099107556
0.149375059,0.039990423,0.024853467,0.018123316,0.146130007,0.125043766,0.132369844,0.093492918
0.109568706,0.015673417,0.127235075,0.011532871,0.173972291,0.082744396,0.187874525,0.086272658
0.133663092,0.034704113,0.091981545,0.062767043,0.217931973,0.063875394,0.259936031,0.056647355
0.162225843,0.022424502,0.107980451,0.050706557,0.146015641,0.113576578,0.159813914,0.058285228
0.149375059,0.039990423,0.128283821,0.047967301,0.102565258,0.119049725,0.205957961,0.058816379
0.120183742,0.042196104,0.118615633,0.056416602,0.20462807,0.041650007,0.174972905,0.022668087
0.147051004,0.030721625,0.121445221,0.07557745,0.148200173,0.131974365,0.230773285,0.12629571
0.138131457,0.030340447,0.127858062,0.024957673,0.17563589,0.093500546,0.226324324,0.10575837
0.129749037,0.034478015,0.060495665,0.052648032,0.15744737,0.087736005,0.107569809,0.132337937
0.17793781,0.000403407,0.105988395,0.009645145,0.15609323,0.078090443,0.157609733,0.02553692
0.12749291,0.03128737,0.069588622,0.034208744,0.155264694,0.055188333,0.182336268,0.047451723
0.129749037,0.034478015,0.008298484,0.047707705,0.139599514,0.067454112,0.161020921,0.063783423
0.109568706,0.015673417,0.023871302,0.029862544,0.120401497,0.064019034,0.137570189,0.035946922
0.109568706,0.015673417,0.05302799,0.074399366,0.183921108,0.071287095,0.150662949,0.094292154
0.125565925,0.037784864,0.092960839,0.01021848,0.165562917,0.051437968,0.243333858,0.081812882
0.109568706,0.015673417,0.09897005,0.075212862,0.199996743,0.047710706,0.191812379,0.096137932
0.149375059,0.039990423,0.091120441,0.063542627,0.140899633,0.032597286,0.179562672,0.048861131
